time;pm10;pm25;so2;co;o3;no2;tavg;rhum;prcp;wspd;wdir
2023-07-20;52.0;80.0;39.0;14.0;27.0;25.0;28.7;63.0;0.0;7.6;14.0
2023-07-21;62.0;94.0;41.0;16.0;24.0;38.0;29.0;68.0;0.0;8.9;353.0
2023-07-22;74.0;114.0;42.0;13.0;30.0;35.0;29.3;70.0;0.0;8.9;62.0
2023-07-23;58.0;84.0;41.0;12.0;23.0;25.0;29.3;73.0;0.0;8.6;49.0
2023-07-24;57.0;77.0;38.0;11.0;33.0;23.0;28.6;81.0;0.7;7.2;26.0
2023-07-25;63.0;97.0;42.0;11.0;36.0;34.0;28.5;80.0;2.8;6.8;45.0
2023-07-26;63.0;92.0;38.0;11.0;25.0;33.0;28.3;80.0;0.9;7.0;12.0
2023-07-27;71.0;109.0;41.0;13.0;26.0;43.0;28.8;73.0;1.1;6.2;17.0
2023-07-28;67.0;94.0;44.0;11.0;24.0;32.0;29.2;70.0;0.2;8.8;34.0
2023-07-29;63.0;93.0;42.0;11.0;27.0;27.0;28.9;69.0;0.0;11.1;99.0
2023-07-30;62.0;93.0;42.0;11.0;32.0;20.0;28.7;67.0;0.0;10.5;120.0
2023-07-31;60.0;83.0;39.0;12.0;26.0;20.0;28.7;68.0;0.0;10.1;60.0
2023-08-01;56.0;79.0;41.0;10.0;19.0;24.0;29.3;69.0;0.0;12.4;94.0
2023-08-02;51.0;74.0;42.0;9.0;22.0;24.0;29.2;79.0;3.0;8.6;97.0
2023-08-03;60.0;82.0;40.0;9.0;32.0;29.0;29.8;79.0;2.7;8.5;188.0
2023-08-04;62.0;91.0;38.0;11.0;39.0;24.0;29.6;75.0;0.0;8.6;21.0
2023-08-05;57.0;91.0;39.0;8.0;33.0;22.0;29.3;72.0;0.0;8.5;26.0
2023-08-06;58.0;97.0;39.0;11.0;30.0;22.0;29.2;74.0;0.0;8.2;349.0
2023-08-07;72.0;114.0;40.0;13.0;28.0;39.0;29.4;76.0;0.7;7.9;354.0
2023-08-08;67.0;90.0;41.0;10.0;19.0;29.0;29.3;77.0;0.2;11.1;74.0
