"time","station_id","tavg","rhum","prcp","wspd","wdir"
2023-12-09 00:00:00.000,96745,29.0,83,3.8,2,C
2023-12-10 00:00:00.000,96745,29.2,82,7.7,2,C
2023-12-11 00:00:00.000,96745,29.9,80,5.8,3,W
2023-12-12 00:00:00.000,96745,29.4,77,1.1,2,C
2023-12-13 00:00:00.000,96745,29.8,73,0.8,2,C
2023-12-14 00:00:00.000,96745,30.6,73,0.1,2,C
2023-12-15 00:00:00.000,96745,30.4,70,0.0,3,W
2023-12-16 00:00:00.000,96745,30.4,71,0.1,2,C
2023-12-17 00:00:00.000,96745,30.5,72,0.0,3,W
2023-12-18 00:00:00.000,96745,30.6,71,0.8,3,W
2023-12-19 00:00:00.000,96745,30.2,68,0.1,3,W
2023-12-20 00:00:00.000,96745,30.3,64,0.0,3,W
2023-12-21 00:00:00.000,96745,29.8,63,0.0,3,W
2023-12-22 00:00:00.000,96745,30.0,67,0.0,3,W
2023-12-23 00:00:00.000,96745,31.0,69,6.8,2,C
2023-12-24 00:00:00.000,96745,30.6,77,5.8,2,C
2023-12-25 00:00:00.000,96745,28.6,83,3.7,2,C
2023-12-26 00:00:00.000,96745,28.4,83,3.5,1,C
2023-12-27 00:00:00.000,96745,28.6,85,1.5,2,C
2023-12-28 00:00:00.000,96745,29.8,82,13.7,2,C
2023-12-29 00:00:00.000,96745,29.3,84,10.1,2,C
2023-12-30 00:00:00.000,96745,29.2,84,19.6,2,C
2023-12-31 00:00:00.000,96745,28.6,85,17.6,2,C
2024-01-01 00:00:00.000,96745,29.4,84,9.3,2,C
2024-01-02 00:00:00.000,96745,29.7,84,15.6,2,C
2024-01-03 00:00:00.000,96745,28.0,87,17.6,2,C
2024-01-04 00:00:00.000,96745,27.1,92,56.9,3,W
2024-01-05 00:00:00.000,96745,28.0,84,11.3,2,C
2024-01-06 00:00:00.000,96745,27.9,85,11.9,2,C
2024-01-07 00:00:00.000,96745,28.1,85,10.8,2,C
2024-01-08 00:00:00.000,96745,28.4,86,6.5,2,C
2024-01-09 00:00:00.000,96745,29.2,81,6.0,2,C
2024-01-10 00:00:00.000,96745,29.2,81,5.5,2,C
2024-01-11 00:00:00.000,96745,27.4,88,11.3,3,W
2024-01-12 00:00:00.000,96745,28.5,79,3.2,3,W
2024-01-13 00:00:00.000,96745,28.5,82,0.8,3,W
2024-01-14 00:00:00.000,96745,29.3,82,2.5,2,C
2024-01-15 00:00:00.000,96745,29.4,81,3.5,3,W
2024-01-16 00:00:00.000,96745,30.2,76,5.0,4,W
2024-01-17 00:00:00.000,96745,28.7,82,2.5,4,W
2024-01-18 00:00:00.000,96745,28.4,81,2.4,4,W
2024-01-19 00:00:00.000,96745,26.3,87,17.9,5,W
2024-01-20 00:00:00.000,96745,30.5,71,0.0,5,W
2024-01-21 00:00:00.000,96745,28.7,77,2.5,5,W
2024-01-22 00:00:00.000,96745,30.4,69,0.5,5,W
2024-01-23 00:00:00.000,96745,30.2,73,3.2,4,W
2024-01-24 00:00:00.000,96745,29.8,78,7.7,4,W
2024-01-25 00:00:00.000,96745,30.1,79,2.1,3,W
2024-01-26 00:00:00.000,96745,29.3,82,4.3,3,W
2024-01-27 00:00:00.000,96745,26.3,88,15.3,2,C
2024-01-28 00:00:00.000,96745,27.6,86,11.0,3,W
2024-01-29 00:00:00.000,96745,27.2,89,15.5,3,W
2024-01-30 00:00:00.000,96745,26.9,89,37.1,3,W
2024-01-31 00:00:00.000,96745,27.9,87,25.1,2,C
2024-02-01 00:00:00.000,96745,27.8,87,20.0,2,C
2024-02-02 00:00:00.000,96745,28.2,84,7.9,3,W
2024-02-03 00:00:00.000,96745,28.2,85,13.7,4,W
2024-02-04 00:00:00.000,96745,28.0,83,6.7,3,W
2024-02-05 00:00:00.000,96745,27.9,87,14.0,3,W
2024-02-06 00:00:00.000,96745,26.4,88,20.8,3,W
2024-02-07 00:00:00.000,96745,29.2,80,1.1,3,W
2024-02-08 00:00:00.000,96745,29.3,81,1.4,2,C
2024-02-09 00:00:00.000,96745,29.2,83,5.4,2,C
2024-02-10 00:00:00.000,96745,28.7,85,12.2,3,W
2024-02-11 00:00:00.000,96745,28.7,82,6.3,3,W
2024-02-12 00:00:00.000,96745,28.7,84,11.0,3,W
2024-02-13 00:00:00.000,96745,28.7,83,2.8,3,W
2024-02-14 00:00:00.000,96745,27.5,86,8.5,2,C
2024-02-15 00:00:00.000,96745,28.7,87,3.4,2,C
