tanggal;pm10;pm25;so2;co;o3;no2
2023-10-19;65.0;93.0;51.0;9.0;25.0;30.0
2023-10-20;62.0;78.0;50.0;6.0;29.0;23.0
2023-10-21;63.0;88.0;49.0;6.0;24.0;33.0
2023-10-22;60.0;91.0;47.0;4.0;37.0;25.0
2023-10-23;62.0;86.0;48.0;6.0;37.0;27.0
2023-10-24;63.0;96.0;47.0;5.0;21.0;35.0
2023-10-25;58.0;81.0;44.0;5.0;31.0;32.0
2023-10-26;65.0;99.0;46.0;8.0;31.0;37.0
2023-10-27;67.0;102.0;47.0;8.0;29.0;36.0
2023-10-28;66.0;97.0;47.0;6.0;34.0;36.0
2023-10-29;65.0;94.0;47.0;7.0;36.0;26.0
2023-10-30;59.0;83.0;45.0;6.0;40.0;29.0
2023-10-31;67.0;95.0;45.0;5.0;48.0;33.0
2023-11-01;61.0;86.0;42.0;8.0;38.0;41.0
2023-11-02;58.0;84.0;42.0;6.0;35.0;38.0
2023-11-03;64.0;89.0;43.0;9.0;39.0;37.0
2023-11-04;68.0;97.0;45.0;8.0;33.0;41.0
2023-11-05;51.0;63.0;44.0;8.0;40.0;29.0
2023-11-06;53.0;73.0;43.0;8.0;34.0;29.0
2023-11-07;60.0;85.0;43.0;7.0;37.0;30.0
2023-11-08;55.0;74.0;41.0;6.0;40.0;25.0
2023-11-09;61.0;89.0;44.0;6.0;46.0;30.0
2023-11-10;64.0;107.0;44.0;8.0;41.0;33.0
2023-11-11;64.0;89.0;39.0;15.0;35.0;30.0
2023-11-12;57.0;79.0;42.0;16.0;45.0;25.0
2023-11-13;58.0;81.0;43.0;18.0;36.0;29.0
2023-11-14;57.0;79.0;43.0;16.0;34.0;26.0
2023-11-15;47.0;66.0;40.0;16.0;38.0;30.0
2023-11-16;57.0;81.0;42.0;16.0;41.0;37.0
2023-11-17;52.0;75.0;41.0;16.0;40.0;36.0
2023-11-18;53.0;120.0;41.0;14.0;34.0;31.0
2023-11-19;54.0;80.0;43.0;16.0;32.0;24.0
2023-11-20;52.0;75.0;43.0;15.0;39.0;24.0
2023-11-21;57.0;87.0;44.0;15.0;36.0;30.0
2023-11-22;50.0;69.0;42.0;13.0;43.0;30.0
2023-11-23;56.0;93.0;44.0;11.0;38.0;30.0
2023-11-24;70.0;101.0;44.0;11.0;33.0;38.0
2023-11-25;65.0;83.0;43.0;14.0;4.0;29.0
2023-11-26;55.0;75.0;43.0;15.0;15.0;25.0
2023-11-27;58.0;76.0;43.0;14.0;31.0;26.0
2023-11-28;62.0;96.0;45.0;15.0;29.0;34.0
2023-11-29;58.0;82.0;44.0;11.0;31.0;26.0
2023-11-30;38.0;67.0;43.0;12.0;34.0;34.0
2023-12-01;54.0;73.0;36.0;12.0;22.0;13.0
2023-12-02;53.0;67.0;39.0;11.0;14.0;12.0
2023-12-03;60.0;76.0;38.0;10.0;22.0;12.0
2023-12-04;58.0;76.0;35.0;13.0;20.0;12.0
2023-12-05;54.0;74.0;35.0;10.0;20.0;12.0
2023-12-06;58.0;79.0;35.0;14.0;13.0;13.0
2023-12-07;48.0;68.0;34.0;11.0;18.0;12.0
2023-12-08;51.0;62.0;33.0;9.0;24.0;11.0
2023-12-09;58.0;73.0;34.0;12.0;18.0;14.0
2023-12-10;28.0;42.0;30.0;9.0;13.0;7.0
2023-12-11;43.0;61.0;31.0;14.0;23.0;8.0
2023-12-12;25.0;43.0;30.0;6.0;16.0;6.0
2023-12-13;29.0;35.0;30.0;7.0;13.0;5.0
2023-12-14;27.0;32.0;31.0;6.0;12.0;5.0
2023-12-15;27.0;39.0;32.0;5.0;21.0;5.0
2023-12-16;46.0;63.0;36.0;8.0;14.0;7.0
2023-12-17;59.0;78.0;30.0;19.0;29.0;9.0
2023-12-18;64.0;86.0;30.0;16.0;33.0;12.0
2023-12-19;58.0;85.0;32.0;16.0;23.0;13.0
2023-12-20;65.0;95.0;53.0;;24.0;12.0
2023-12-21;53.0;71.0;57.0;;26.0;13.0
2023-12-22;39.0;59.0;52.0;;15.0;9.0
2023-12-23;31.0;39.0;48.0;10.0;24.0;7.0
2023-12-24;56.0;75.0;51.0;11.0;25.0;13.0
2023-12-25;38.0;52.0;48.0;10.0;25.0;9.0
2023-12-26;41.0;56.0;51.0;10.0;25.0;11.0
2023-12-27;36.0;35.0;49.0;8.0;20.0;7.0
2023-12-28;33.0;51.0;50.0;11.0;8.0;7.0
2023-12-29;23.0;27.0;50.0;10.0;13.0;7.0
2023-12-30;38.0;53.0;51.0;11.0;13.0;9.0
2023-12-31;54.0;68.0;49.0;11.0;19.0;12.0
2024-04-01;63.0;96.0;11.0;26.0;27.0;52.0
2024-04-02;67.0;97.0;14.0;28.0;28.0;62.0
2024-04-03;62.0;78.0;13.0;25.0;24.0;52.0
2024-04-04;48.0;63.0;12.0;30.0;24.0;51.0
2024-04-05;67.0;102.0;13.0;34.0;26.0;58.0
2024-04-06;58.0;83.0;15.0;28.0;29.0;39.0
2024-04-07;48.0;68.0;12.0;22.0;36.0;34.0
2024-04-08;50.0;65.0;13.0;19.0;44.0;31.0
