Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
17-11-2021;30;71;2,4;3;1;C ;-6.155559;106.84;4
18-11-2021;29,8;71;;6,5;1;C ;-6.155559;106.84;4
19-11-2021;27,9;74;;3;2;W ;-6.155559;106.84;4
20-11-2021;27,9;78;8888;0,2;2;C ;-6.155559;106.84;4
21-11-2021;29,4;73;7;2,4;2;SW;-6.155559;106.84;4
22-11-2021;29,3;74;0;6;2;C ;-6.155559;106.84;4
23-11-2021;27,9;76;8888;3;4;W ;-6.155559;106.84;4
24-11-2021;29,3;62;8888;2,6;2;W ;-6.155559;106.84;4
25-11-2021;29,1;73;0;1,2;1;C ;-6.155559;106.84;4
26-11-2021;28,2;80;8888;2,2;2;C ;-6.155559;106.84;4
27-11-2021;27,6;78;34;4;2;W ;-6.155559;106.84;4
28-11-2021;28,1;74;5;4,5;4;W ;-6.155559;106.84;4
29-11-2021;28,4;76;0,3;1,2;2;W ;-6.155559;106.84;4
30-11-2021;28,9;75;0;5;1;C ;-6.155559;106.84;4
01-12-2021;29,9;63;;0,7;2;W ;-6.155559;106.84;4
02-12-2021;30,7;66;0;2,4;3;W ;-6.155559;106.84;4
03-12-2021;29,6;71;;6,5;2;W ;-6.155559;106.84;4
04-12-2021;;85;0;1;1;C ;-6.155559;106.84;4
05-12-2021;26,2;85;2,5;0;0;C ;-6.155559;106.84;4
06-12-2021;26,8;84;11,9;0;1;C ;-6.155559;106.84;4
07-12-2021;26,8;86;65,6;2,5;1;C ;-6.155559;106.84;4
08-12-2021;28,1;81;1,5;0;1;C ;-6.155559;106.84;4
09-12-2021;28;84;30,5;5;2;C ;-6.155559;106.84;4
10-12-2021;28,1;82;0,6;2,5;2;C ;-6.155559;106.84;4
11-12-2021;27,9;82;1,6;5,7;2;C ;-6.155559;106.84;4
12-12-2021;29,3;72;8888;4,2;2;W ;-6.155559;106.84;4
13-12-2021;29,6;74;;4;2;C ;-6.155559;106.84;4
14-12-2021;28,6;82;;7;2;C ;-6.155559;106.84;4
15-12-2021;28,5;78;7,4;0,3;1;C ;-6.155559;106.84;4
16-12-2021;28,1;82;8888;2;1;C ;-6.155559;106.84;4
17-12-2021;28,4;77;8888;2,4;1;C ;-6.155559;106.84;4
18-12-2021;28,3;78;0,4;5;2;C ;-6.155559;106.84;4
19-12-2021;29,3;78;2,4;5,2;1;C ;-6.155559;106.84;4
20-12-2021;27,9;81;0;6;1;C ;-6.155559;106.84;4
21-12-2021;26,7;88;1,5;1;1;C ;-6.155559;106.84;4
22-12-2021;28,6;76;6,8;0,6;1;C ;-6.155559;106.84;4
23-12-2021;26,7;85;0;4,7;1;C ;-6.155559;106.84;4
24-12-2021;28,1;80;19,7;2;1;C ;-6.155559;106.84;4
25-12-2021;27,7;80;;3,6;1;C ;-6.155559;106.84;4
26-12-2021;28,6;75;9,4;3;1;C ;-6.155559;106.84;4
27-12-2021;28,3;78;;5;2;C ;-6.155559;106.84;4
28-12-2021;27,9;82;8888;7,2;2;C ;-6.155559;106.84;4
29-12-2021;28,3;80;9;3,8;1;C ;-6.155559;106.84;4
30-12-2021;27,7;84;0;2;1;C ;-6.155559;106.84;4
31-12-2021;29,2;74;0,8;0;1;C ;-6.155559;106.84;4
01-01-2022;28,9;75;0,5;4;1;C ;-6.155559;106.84;4
02-01-2022;28,2;82;0;3,5;2;W ;-6.155559;106.84;4
03-01-2022;29,2;72;0;2,9;2;C ;-6.155559;106.84;4
04-01-2022;28,9;71;;6,2;1;C ;-6.155559;106.84;4
05-01-2022;29,4;75;0;5,6;1;C ;-6.155559;106.84;4
06-01-2022;27,9;86;34,5;7,5;1;C ;-6.155559;106.84;4
07-01-2022;29,3;74;6,8;2;1;C ;-6.155559;106.84;4
08-01-2022;28,6;77;0,3;6,9;1;C ;-6.155559;106.84;4
09-01-2022;29,1;77;0;7;2;C ;-6.155559;106.84;4
10-01-2022;28,3;78;;1,5;2;C ;-6.155559;106.84;4
11-01-2022;26,9;86;24;1;1;C ;-6.155559;106.84;4
12-01-2022;26,7;87;27,2;3,4;2;C ;-6.155559;106.84;4
13-01-2022;27,2;84;15,6;5;1;C ;-6.155559;106.84;4
14-01-2022;26,5;88;13;0;1;C ;-6.155559;106.84;4
15-01-2022;26,7;86;4;0,6;1;C ;-6.155559;106.84;4
16-01-2022;27,4;87;0;0,4;2;C ;-6.155559;106.84;4
17-01-2022;28,1;82;12,8;0;1;C ;-6.155559;106.84;4
18-01-2022;26,3;92;8,1;4;2;NW;-6.155559;106.84;4
19-01-2022;27,3;84;204;0,2;2;C ;-6.155559;106.84;4
20-01-2022;26,2;83;6,6;5,8;1;C ;-6.155559;106.84;4
21-01-2022;27,6;79;8888;0;1;C ;-6.155559;106.84;4
22-01-2022;27,3;82;6;5;2;W ;-6.155559;106.84;4
