periode_data;tanggal;stasiun;pm_sepuluh;pm_duakomalima;sulfur_dioksida;karbon_monoksida;ozon;nitrogen_dioksida;max;critical;kategori
202303;02/03/2023;DKI5;30;-;16;12;19;15;30;PM10;BAIK
202303;03/03/2023;DKI1;38;46;49;9;16;25;49;SO2;BAIK
202303;03/03/2023;DKI2;34;41;20;10;19;22;41;PM25;BAIK
202303;03/03/2023;DKI3;34;52;14;7;11;2;52;PM25;SEDANG
202303;03/03/2023;DKI4;35;50;28;10;8;14;50;PM25;BAIK
202303;03/03/2023;DKI5;39;-;18;12;22;16;39;PM10;BAIK
202303;04/03/2023;DKI1;31;40;50;---;18;21;50;SO2;BAIK
202303;04/03/2023;DKI2;30;36;19;11;17;19;36;PM25;BAIK
202303;04/03/2023;DKI3;40;60;14;7;14;3;60;PM25;SEDANG
202303;04/03/2023;DKI4;31;51;28;10;10;14;51;PM25;SEDANG
202303;04/03/2023;DKI5;25;-;15;14;22;13;25;PM10;BAIK
202303;05/03/2023;DKI1;33;41;47;11;21;22;47;SO2;BAIK
202303;05/03/2023;DKI2;34;45;19;10;21;18;45;PM25;BAIK
202303;05/03/2023;DKI3;38;46;14;6;10;2;46;PM25;BAIK
202303;05/03/2023;DKI4;46;50;28;9;8;11;50;PM25;BAIK
202303;05/03/2023;DKI5;28;-;16;12;21;12;28;PM10;BAIK
202303;06/03/2023;DKI1;31;44;46;9;20;19;46;SO2;BAIK
202303;06/03/2023;DKI2;37;48;19;8;20;19;48;PM25;BAIK
202303;06/03/2023;DKI3;39;55;14;6;7;-;55;PM25;SEDANG
202303;06/03/2023;DKI4;51;54;28;6;8;7;54;PM25;SEDANG
202303;06/03/2023;DKI5;17;-;14;9;20;7;20;O3;BAIK
202303;07/03/2023;DKI1;37;54;50;11;17;19;54;PM25;SEDANG
202303;07/03/2023;DKI2;37;53;23;8;15;16;53;PM25;SEDANG
202303;07/03/2023;DKI3;48;70;14;7;11;-;70;PM25;SEDANG
202303;07/03/2023;DKI4;34;64;29;8;10;10;64;PM25;SEDANG
202303;07/03/2023;DKI5;35;-;18;10;23;9;35;PM10;BAIK
202303;08/03/2023;DKI1;42;54;51;12;17;23;54;PM25;SEDANG
202303;08/03/2023;DKI2;33;41;19;7;21;20;41;PM25;BAIK
202303;08/03/2023;DKI3;60;87;15;7;11;4;87;PM25;SEDANG
202303;08/03/2023;DKI4;-;86;31;12;8;17;86;PM25;SEDANG
202303;08/03/2023;DKI5;32;-;22;10;23;14;32;PM10;BAIK
202303;09/03/2023;DKI1;47;58;46;13;22;33;58;PM25;SEDANG
202303;09/03/2023;DKI2;51;58;20;11;18;31;58;PM25;SEDANG
202303;09/03/2023;DKI3;62;82;15;7;20;7;82;PM25;SEDANG
202303;09/03/2023;DKI4;50;87;30;13;14;20;87;PM25;SEDANG
202303;09/03/2023;DKI5;41;-;15;19;28;21;41;PM10;BAIK
202303;10/03/2023;DKI1;45;61;46;12;14;28;61;PM25;SEDANG
202303;10/03/2023;DKI2;42;58;18;12;24;26;58;PM25;SEDANG
202303;10/03/2023;DKI3;51;79;34;11;20;14;79;PM25;SEDANG
202303;10/03/2023;DKI4;-;77;29;15;17;17;77;PM25;SEDANG
202303;10/03/2023;DKI5;53;-;15;16;29;14;53;PM10;SEDANG
202303;11/03/2023;DKI1;44;62;45;12;18;35;62;PM25;SEDANG
202303;11/03/2023;DKI2;48;63;21;16;28;35;63;PM25;SEDANG
202303;11/03/2023;DKI3;40;65;35;12;26;10;65;PM25;SEDANG
202303;11/03/2023;DKI4;49;73;29;11;20;23;73;PM25;SEDANG
202303;11/03/2023;DKI5;50;-;14;16;35;20;50;PM10;BAIK
202303;12/03/2023;DKI1;61;83;47;13;17;39;83;PM25;SEDANG
202303;12/03/2023;DKI2;73;94;27;16;24;36;94;PM25;SEDANG
